,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_05__02_43_23.json,1,87298294,107085053,1944774859,1110678642,65950856,63149764,1236289113,442964323,5014960895,47,442,0,0,186372096,f9bd510f3f01,104574976,61657088,Container level,25960464,110249,3,8,1543977803,Process level,1304022,1423189,2300.108,0,5337,84452,4834,0,8651,12,75801,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466712,9203,41405,5194184,unavailable,0.21,34912,475220,32117960,32939556,VM level,25960464,110249
2018_12_05__02_43_24.json,2,106338872,126809909,1966723805,2193514621,88660220,82947499,1257159865,468458352,6243310601,61,551,0,0,186376192,f9bd510f3f01,157425664,154005504,Container level,25960464,110249,3,8,1543977804,Process level,1305247,1423934,2300.108,0,5337,84575,4834,0,8663,12,75912,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466720,9203,41406,5194188,unavailable,0.21,34912,475224,32024336,32939556,VM level,25960464,110249
2018_12_05__02_43_25.json,3,122730256,150959511,1988766399,3271396750,110522005,97508511,1278035365,496544660,7473334167,74,660,0,0,186380288,f9bd510f3f01,250834944,250044416,Container level,25960464,110249,3,8,1543977805,Process level,1306471,1424679,2300.108,0,5337,84697,4834,0,8676,12,76021,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466776,9203,41408,5194188,unavailable,0.21,34912,475228,31933904,32939556,VM level,25960464,110249
2018_12_05__02_43_26.json,4,143429046,174911843,2008035819,4351394368,129867564,116325264,1299594405,516418520,8698285645,85,768,0,0,186384384,f9bd510f3f01,342843392,342540288,Container level,25960464,110249,3,8,1543977806,Process level,1307729,1425424,2300.108,0,5337,84816,4834,0,8687,12,76129,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466784,9203,41409,5194192,unavailable,0.27,34912,475232,31844320,32939556,VM level,25960464,110249
2018_12_05__02_43_27.json,5,160625934,193748941,2028935683,5432964325,147475604,138097441,1323537881,544027967,9922729282,103,871,0,0,186388480,f9bd510f3f01,465858560,446963712,Container level,25960464,110249,3,8,1543977807,Process level,1309334,1426168,2300.108,0,5337,84936,4834,0,8704,12,76232,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466792,9203,41410,5194196,unavailable,0.27,34912,475236,31737540,32939556,VM level,25960464,110249
2018_12_05__02_43_28.json,6,180442513,214489918,2048897492,6507424139,171599927,157756548,1340464902,572364539,11150028360,115,979,0,0,186392576,f9bd510f3f01,541851648,499027968,Container level,25960464,110249,3,8,1543977808,Process level,1310559,1426915,2300.108,0,5337,85058,4834,0,8717,12,76341,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466800,9203,41411,5194196,unavailable,0.27,34912,475240,31688348,32939556,VM level,25960464,110249
2018_12_05__02_43_29.json,7,199651121,231335716,2068476379,7589870142,196234115,178978618,1360720754,595976683,12374564961,133,1081,0,0,186396672,f9bd510f3f01,693051392,597946368,Container level,25960464,110249,3,8,1543977809,Process level,1311804,1427659,2300.108,0,5337,85178,4834,0,8735,12,76443,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9466808,9203,41412,5194196,unavailable,0.27,34912,475244,31589328,32939556,VM level,25960464,110249
2018_12_05__02_43_31.json,9,220658464,249247553,2089800247,8667164980,217163069,199382362,1379937694,624125347,13604441589,140,1195,0,0,186400768,f9bd510f3f01,693051392,598491136,Container level,25960464,110249,3,8,1543977811,Process level,1313068,1428399,2300.108,0,5337,85297,4838,0,8743,12,76554,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9538048,9203,41697,5207528,unavailable,0.27,34912,475248,31590732,32939556,VM level,25960464,110249
2018_12_05__02_43_32.json,10,239444644,271027452,2109214245,9745245806,236618199,219925107,1399544569,652151428,14830282957,164,1291,0,0,186404864,f9bd510f3f01,995287040,798957568,Container level,25960464,110249,3,8,1543977812,Process level,1314318,1429144,2300.108,0,5337,85420,4838,0,8768,12,76652,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9538056,9203,41698,5207532,unavailable,0.33,34912,475252,31392188,32939556,VM level,25960464,110249
2018_12_05__02_43_33.json,11,255261322,285820366,2131837862,10833234550,253921133,242529290,1421636353,677817548,16055739026,175,1404,0,0,186408960,f9bd510f3f01,995287040,800550912,Container level,25960464,110249,3,8,1543977813,Process level,1315545,1429889,2300.108,0,5337,85542,4838,0,8777,12,76765,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9538064,9203,41699,5207532,unavailable,0.33,34912,475256,31393020,32939556,VM level,25960464,110249
2018_12_05__02_43_34.json,12,279898159,302323499,2150703316,11906868767,276736971,266674776,1443706249,705306545,17285159997,185,1517,0,0,186413056,f9bd510f3f01,995287040,799674368,Container level,25960464,110249,3,8,1543977814,Process level,1316833,1430635,2300.108,0,5337,85665,4838,0,8787,12,76878,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9538072,9203,41700,5207532,unavailable,0.33,34912,475260,31393756,32939556,VM level,25960464,110249
2018_12_05__02_43_35.json,13,296844397,327244799,2172653049,12989022433,295799696,285945813,1461148331,728260698,18510244641,195,1627,0,0,186417152,f9bd510f3f01,995287040,797966336,Container level,25960464,110249,3,8,1543977815,Process level,1318037,1431379,2300.108,0,5338,85786,4838,0,8797,12,76989,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4224,29080,771463,9538080,9203,41701,5207532,unavailable,0.33,34912,475264,31392772,32939556,VM level,25960464,110249
2018_12_05__02_43_36.json,14,317950357,346163607,2187767975,14075162145,316837795,307970810,1482323280,751555282,19739149228,240,1705,0,0,186421248,f9bd510f3f01,1608712192,1607716864,Container level,25960464,110249,3,8,1543977816,Process level,1319272,1432124,2300.108,0,5338,85908,4838,0,8841,12,77067,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546256,9203,41738,5207736,unavailable,0.33,34912,475268,30606160,32939556,VM level,25960464,110249
2018_12_05__02_43_37.json,15,340221745,362793522,2205352010,15159149639,339714321,329770983,1499924477,775023143,20965707930,249,1817,0,0,186425344,f9bd510f3f01,1609486336,1206575104,Container level,25960464,110249,3,8,1543977817,Process level,1320505,1432870,2300.108,0,5338,86030,4838,0,8853,12,77177,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546264,9203,41739,5207736,unavailable,0.39,34912,475272,30997756,32939556,VM level,25960464,110249
2018_12_05__02_43_38.json,16,357006616,380905179,2224101138,16237772963,360516096,357778376,1519197269,800442954,22195029556,258,1928,0,0,186429440,f9bd510f3f01,1609486336,1206550528,Container level,25960464,110249,3,8,1543977818,Process level,1321746,1433615,2300.108,0,5338,86150,4838,0,8861,12,77289,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546272,9203,41740,5207736,unavailable,0.39,34912,475276,30997296,32939556,VM level,25960464,110249
2018_12_05__02_43_39.json,17,373146763,402200706,2245294154,17320615838,384397770,375766990,1541244269,821806530,23418338011,268,2038,0,0,186433536,f9bd510f3f01,1609486336,1202810880,Container level,25960464,110249,3,8,1543977819,Process level,1322983,1434360,2300.108,0,5338,86269,4838,0,8870,12,77399,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546280,9203,41741,5207740,unavailable,0.39,34912,475280,30998204,32939556,VM level,25960464,110249
2018_12_05__02_43_40.json,18,387456746,423499334,2266014040,18396595810,401411809,398033106,1560530327,848703861,24640060249,276,2150,0,0,186437632,f9bd510f3f01,1609486336,1203732480,Container level,25960464,110249,3,8,1543977820,Process level,1324369,1435101,2300.108,0,5338,86390,4838,0,8878,12,77512,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546288,9203,41742,5207740,unavailable,0.39,34912,475284,30999456,32939556,VM level,25960464,110249
2018_12_05__02_43_41.json,19,399625692,444173183,2287928957,19480602348,418171445,422333647,1582791072,870520756,25864114820,287,2261,0,0,186441728,f9bd510f3f01,1609486336,1205420032,Container level,25960464,110249,3,8,1543977821,Process level,1325606,1435846,2300.108,0,5338,86513,4838,0,8889,12,77624,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4226,29080,771463,9546296,9203,41743,5207740,unavailable,0.43,34912,475288,30999204,32939556,VM level,25960464,110249
2018_12_05__02_43_42.json,20,418155981,460792673,2307049797,20565465534,439326258,443609081,1602658026,898771089,27087821767,296,2370,0,0,186445824,f9bd510f3f01,1609486336,1205170176,Container level,25960464,110249,3,8,1543977822,Process level,1326869,1436589,2300.108,0,5338,86632,4838,0,8900,12,77732,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4259,29080,771463,9546592,9203,41747,5207748,unavailable,0.43,34920,475288,30998324,32939556,VM level,25960464,110249
